provide a forum for@R@	provide the opportunity for@R@
achieve in	push in
plead guilty to	be arrested for
head up to@R@	be the head of@R@
contend with	fight with
record in	file in
split@R@	explode@R@
influence	regulate
remember be@R@	think of be@R@
spring from	from
stop by	flow to
be taken	be taken as
boast@R@	star@R@
obtain@R@	find@R@
open	launch
garner	go on
want to receive@R@	need to visit@R@
be an excellent source of@R@	be packed with@R@
be anything like@R@	be like have@R@
provide service for	offer to
be taken	be taken at
work to get@R@	take to get@R@
pressure	press
be governed by	govern@R@
be won by@R@	win
be planted in@R@	be grown in@R@
be transmitted by@R@	transmit
chase@R@	track@R@
offer opportunity for@R@	provide an opportunity for@R@
come from@R@	hang from@R@
roll off@R@	live off@R@
yell@R@	cry@R@
be portrayed in	be shown
sell@R@	turn over@R@
know any of	see some of
try with	with
be a good option for	be good in
make up	be formed by@R@
become more than@R@	be nothing more than@R@
ask to	have to
knock out@R@	be critical of@R@
aid@R@	be supported by
pertain to@R@	relate to@R@
be performed at@R@	be placed at@R@
be a bit like@R@	be a sort of@R@
infuriate	strive
be ignorant of	be unaware of
stress the importance of@R@	stress the need for@R@
be paid@R@	be in@R@
refund	salute
be displayed to	be shown to
take a closer look at@R@	look up@R@
be immune to@R@	be prone to@R@
be older than	be less than
be illegal for	be harder for
make good use of	encourage the use of
go off in@R@	go out in@R@
need on@R@	on@R@
last up to	take less than
please keep	abide by
debut in@R@	take in@R@
equate to	compare with
be taken from@R@	be ordered from@R@
enjoy go to@R@	run to@R@
look about@R@	seek out@R@
feed@R@	use up@R@
die to	give in to
stop make@R@	make@R@
be chock full of	be full of
start out on	on
be portrayed in	be depicted in
decide to take@R@	start take@R@
defeat	destroy
disprove@R@	negate@R@
fall with@R@	come down with@R@
end up make	make
begin write@R@	start write@R@
note	be marked by@R@
fall victim to@R@	be a victim of@R@
remark to	say this to
be e-mailed to@R@	be issued to@R@
be incorporated in	be incorporated into
dispute@R@	debate@R@
please take@R@	please make@R@
have full access to@R@	be accessible by
begin to understand	start see
adopt in	assume in
mention on	discuss on
emerge on	get up on
arise in	in
be married in@R@	be married to@R@
like to read@R@	read@R@
get up on@R@	come up on@R@
split into	be arranged in
ask at@R@	want at@R@
be way out of	be out of
log	cut
mean to	be meant by@R@
require a great deal of	need lot of
offer a wide variety of	provide a variety of
keep at	give at
contain a number of	include a number of
be to make	get to make
pay particular attention to@R@	pay special attention to@R@
run at@R@	compete at@R@
be made@R@	be made on@R@
serve at@R@	go at@R@
be supplied with	be decorated with
have some of@R@	get some of@R@
be designed for@R@	be for@R@
refuse@R@	turn down@R@
number@R@	sum up@R@
make friend with	be friend with
contend with	battle
criticize@R@	criticise@R@
see the need for@R@	need to look for@R@
be placed on	be both on
be powered by	power@R@
enjoy go to	like to go to
be illegal for	be rare for
agree on	find on
occur to	run to
run between@R@	happen between@R@
start to take@R@	start take@R@
mean for	make plan for
be geared towards	be intended for
decide to start@R@	commence@R@
find this in	come across in
arise in	emerge in
go on about	go about
land in@R@	land@R@
be checked by	determine@R@
be optimized for	be viewed with
deprive	be by@R@
obtain@R@	receive@R@
count for	come out
advance to@R@	journey to@R@
involve the use of@R@	include the use of@R@
have a team of	have a group of
have responsibility for	be held liable for
be scheduled in@R@	be performed in@R@
answer in@R@	say in@R@
be observed by	be discovered by
be tried in	be brought in
access	have access to
work better for	work with
be a vital part of@R@	play an important role in@R@
feel bad for@R@	obtain for@R@
be used throughout@R@	be throughout@R@
give credit to	to
think at	give at
be resolved in	be examined in
be nominated by@R@	elect
come as	develop as
be a compilation of@R@	be lot of@R@
say be@R@	choose be@R@
choose from@R@	write from@R@
want to create	want to build
mask@R@	sink@R@
be spoken by@R@	speak
be near	go near
solve	work out
accentuate	bring out
love to hear	like to see
cost@R@	entail@R@
necessitate	be required by@R@
involve in@R@	be involved in@R@
be over for	turn out for
seem kind of@R@	be a type of@R@
get lot of@R@	get plenty of@R@
expect to find@R@	look to see@R@
be purchased by	be bought by
gain in	earn in
be reduced by@R@	slash
be the main source of@R@	be an excellent source of@R@
charge	charge for
move to@R@	relocate to@R@
step of@R@	walk out of@R@
contain a lot of@R@	be packed with@R@
walk over	have over
retake	capture
take most of@R@	have most of@R@
teach to@R@	choose to@R@
be sure to@R@	manage to@R@
be occupied by@R@	occupy
be resolved in	be explained in
want to buy@R@	think about buy@R@
be all of	be a of
be ready to	be happy to
take a tour of	be seen by@R@
be granted to	be awarded to
be picked up by	be by
be an excellent source of	be high in
be member of@R@	become a member of@R@
get more information on	read about
develop as@R@	as@R@
be more common in	be common in
grant to@R@	grant@R@
be made at	be needed at
stab	pound
challenge for@R@	be challenged by
consider do	be gonna do
refer in	state in
start to make@R@	manage to make@R@
give away	throw away
be beaten by@R@	beat
leave to@R@	go to@R@
have difficulty with	have trouble with
continue to be	look to be
say nothing about	know more about
carry in@R@	have no bearing on@R@
hug	embrace
begin to feel@R@	sense@R@
be easier than@R@	be better than@R@
learn to love	be a lover of
deviate from@R@	take off from@R@
have mercy on@R@	create@R@
make over	do over
remain on	proceed
propel@R@	motivate@R@
learn to@R@	need to@R@
evolve from@R@	rise from@R@
wander	roam
perceive	be understood by@R@
compile	amass
crush	be destroyed by@R@
decide to make	get to make
be true in	be true with
explain some of	discuss some of
play golf in@R@	live near@R@
get on to@R@	get onto@R@
see most of	find most of
tune@R@	rectify@R@
land in	land
happen	arise
be all about@R@	be about@R@
play a lot of	take on
grow with	increase with
leap to@R@	step up to@R@
vote with	vote on
say this to@R@	to@R@
be ideal for@R@	be suited for@R@
come look for@R@	search for@R@
display on@R@	be displayed on@R@
run on@R@	take on@R@
back	back up
choose from@R@	think from@R@
wear out@R@	use up@R@
be the kind of	be the type of
push through@R@	wander through@R@
telephone	call
erect	be set up by@R@
be dressed in	cut down
pose as	claim to be
awaken to	wake up to
rise for	go up for
be employed by	employ@R@
engage with@R@	be implemented by
happen without	live without
maintain	abide by
provide a link to@R@	have a link to@R@
want to put@R@	need to set up@R@
think of do@R@	start do@R@
form	be formed by@R@
have a link to	relate to
nod to	gesture to
be accepted by@R@	assume
marry in	marry
screw@R@	fuck@R@
be the function of@R@	be the role of@R@
be reduced in	be small in
please go to	please visit
obscure	hide
offer some of@R@	know some of@R@
be purchased at	be sold at
look up at@R@	stare at@R@
issue	be by@R@
be believed to be	be considered to be
engender@R@	create@R@
stab	poke
fight on	act on
be available via	be available from
be acceptable to	take on@R@
be called by	get a call from@R@
misinterpret	be read by@R@
have a profound impact on	have a significant impact on
be the topic of	be the meaning of
develop for@R@	for@R@
assess	rate
sell in@R@	trade in@R@
help create	help establish
be cut in@R@	cut@R@
forget to	manage to
look toward@R@	look towards@R@
believe for	for
mix up	mix in
perform with	show up with
get more information on	read more about
appoint@R@	be nominated by
file	be registered for
battle with	wrestle
do a search on	research
compete	emulate
be subscribed to	hold to
be a prime example of@R@	be example of@R@
be the lack of@R@	miss in@R@
make the trip to	take a trip to
be conducted on	be done on
meet up with@R@	fulfil@R@
try to create@R@	want to play@R@
bar@R@	exclude@R@
deal@R@	sell off@R@
blog	about
be a first for	be the first of
get a list of	list
intervene in	interfere in
roll	cast
want to get out of@R@	want out of@R@
be a son of@R@	be a child of@R@
fear for	be concerned for
hit on	punch
mean more than	be more powerful than
know more about@R@	know anything about@R@
attend school in	find a job in
put pressure on	push on
call in@R@	call@R@
install@R@	reinstall@R@
pay no attention to	minister to
receive on	agree on
permeate	damage
have sex with@R@	betray@R@
go about	come about
write a book about@R@	write a book on@R@
start at	come in at
struggle@R@	struggle for@R@
be the winner of@R@	be awarded@R@
slam@R@	bang@R@
be reported in	be detected in
be introduced by	in@R@
be obtained in@R@	be in@R@
spend much time in	expire in
spread over@R@	fly over@R@
forget to	hope to
ask be	have be
come to understand@R@	understand the concept of@R@
be published as@R@	be available as@R@
authorize	commission
disappear	pass away
bring to@R@	need to@R@
wander to	jump to
trim@R@	want to wear@R@
look about	matter to
be under	be placed under
be available on@R@	be available by@R@
be thanks to@R@	like to thank@R@
take picture of@R@	take a picture of@R@
be seated in@R@	put on@R@
be established as	be designated
necessitate	cry out for
come to understand@R@	understand the nature of@R@
skip	spring
bless@R@	be blessed by
be set up in@R@	define in@R@
be worn by@R@	watch on
be obtained through	be done through
be regarded by@R@	discuss
calm	console
exist on	live on
mix up	mix
be all out of	be way out of
be the lifeblood of@R@	be the cornerstone of@R@
like to have	hope to have
be given for	be offered for
be struck by	clash with@R@
survey	examine
be presented at	be taken at
want to receive@R@	like to see@R@
buck@R@	run against@R@
be scheduled	be for
disconnect@R@	pull down@R@
stress the importance of	emphasize the importance of
want to work with@R@	need to work with@R@
re-read@R@	love read@R@
interview	turn to
be the head of	direct
fall from@R@	hail from@R@
mix	mix in
take a look at@R@	want to look at@R@
be planned for	be scheduled on
come to find@R@	go see@R@
be the birthplace of	be the creator of
whisper in@R@	communicate in@R@
switch off@R@	swap@R@
be more for@R@	be needed for@R@
be located on	be both on
be offered as	be designed as
be a graduate of	be a student of
be moved to@R@	be moved from@R@
like to buy	want to buy
thrust@R@	soak@R@
be harder than	be greater than
sign up	be signed to
be home with	have with
help give	help maintain
start play	love play
be intended to be@R@	be written as@R@
mean the world to@R@	be meant by
make one of@R@	use one of@R@
be meant to be	be intended to be
tend to use@R@	make full use of@R@
find one in	hear in
contain a lot of	be packed with
come near	be near
be the owner of	want to own
go with	sit with
represent@R@	symbolize@R@
work toward@R@	need to work on@R@
be dressed in@R@	want to wear@R@
be added as	be for
pick up at@R@	want at@R@
be joined by	join@R@
walk up to@R@	step to@R@
ride in	push
stay from	have from
be cut to@R@	reduce to@R@
seem to get	tend to get
be a bit of	be something of
have an understanding of@R@	need to read@R@
be pleased to see	be to meet
be a bit of	be a of
be done without	be without
attract the attention of@R@	catch the attention of@R@
want to purchase	like to buy
hike	travel
be knowledgeable about@R@	know nothing about@R@
provide be@R@	offer be@R@
stick on	beat out
enjoy the benefit of	have the benefit of
be sure to@R@	be asked to@R@
be formed in	be founded in
hear about@R@	learn all about@R@
omit@R@	give out@R@
bet	reckon
be without	be done without
be haunted by@R@	haunt
demand	need
be nothing more than	be more like
be the best choice for	be the best option for
sort through@R@	sort out@R@
be the duty of@R@	be the intent of@R@
record in	post in
be disclosed to	be transmitted to
be recognized in	be known in
strike at@R@	happen at@R@
surpass@R@	top@R@
fall victim to@R@	be victim of@R@
perfect	improve
walk out	go out
be distinguished from	be distinct from
be throughout@R@	continue throughout@R@
need to pay@R@	be charged@R@
enable	be changed by@R@
pitch	set up
refund@R@	be honored by
head down to	go off to
be reliant on	vary depend on
mean the end of	discontinue
appear to be on@R@	need to be on@R@
be an important source of@R@	be a great source of@R@
decide to buy	buy
be recorded by@R@	be ignored by@R@
outperform@R@	beat out@R@
talk at	have at
use a combination of	avoid use
come out with	follow up on
get one of	have one of
be classified by	sort@R@
improve in	evolve in
tickle@R@	lick@R@
be conducted at	be displayed at
join to@R@	connect to@R@
enter on@R@	come in on@R@
call	need to call
sign up	sign on
stop by	flow in
stand to@R@	go to@R@
know	know of
use to	be able to
fit on@R@	appear on@R@
be obvious to	become clear to
be conducted by	lead@R@
discover on	on
chase@R@	abide by@R@
feel bad for@R@	purchase for@R@
have many year of@R@	have a wealth of@R@
have tie to@R@	relate to@R@
be handled by	be covered by
continue until	remain until
decide to do	choose to do
count@R@	count as@R@
be valid in@R@	be illegal in@R@
protect against@R@	help to keep@R@
